ajamīḍhāt tu nīlyāṃ vai | HV_23.95a
ajamīḍhāt punar jātaḥ | *HV_23.101*379a
ajamīḍho dvimīḍhaś ca | *HV_15.14*284:5a
ajamīḍho dvimīḍhaś ca | HV_23.73c
ajaram amaram ekaṃ dhyeyam ādyantaśūnyaṃ | **HV_App.I,40.173**52:5
ajaraś cāmaraś caiva | HV_112.118a
ajaryaṃ sakhyam astu te | HV_App.I,5.79b
ajaśyāmau ca pārśvau tāv | HV_114.12c
ajas tu rāghuto jajñe | HV_10.74a
ajasya kartā bhuvanasya goptā | HV_App.I,31.521
ajasya caikapādasya | HV_App.I,42B.1730a
ajaṃ kṣetrajam acyutam | *HV_7.53*141b
ajātaputrāya sutān | HV_28.8a
ajātaśatruḥ śatrūṇāṃ | HV_24.33c
ajāte darśanaṃ nāsti | HV_48.48a
ajānan kāśyapas tasmān | HV_8.4c
ajānanto yato janāḥ | HV_App.I,29.372b
ajānann iva kiṃ brūṣe | HV_App.I,31.2795a
ajāya ca namas tubhyaṃ | HV_App.I,31.1072a
ajāya paramātmane | HV_App.I,20.637b
ajāya prathamāyaiva | *HV_1.22*29:2a
ajāya viṣṇave tubhyaṃ | HV_App.I,31.1292a
ajārūpeṇa chādayan | HV_App.I,41.1490b
ajāś caikaśaphāś caiva | HV_App.I,41.523a
ajāś caivopayokṣyante | HV_116.29c
ajitaṃ nāma nāmataḥ | HV_App.I,42A.239b
ajitaḥ paulahaś caiva | HV_App.I,1.53a
ajitātmātimatsarī | HV_App.I,18.358b
ajitātmā mama bhrātā | HV_App.I,29.658a
ajitāṃ śatrutāpanīm | HV_App.I,30.369b
ajitendriyam asthiram | HV_118.17b
ajito lokapūjitaḥ | HV_92.59d
ajitvā kiṃ bhavān brūte | HV_App.I,31.1984a
ajījanat puṣkariṇyāṃ | HV_2.15c
ajeyam etat trailokye | *HV_112.96*1439:3a
ajeyaś cāpy ariṃdamaḥ | HV_App.I,41.1976b
ajeyaś ceti matvā taṃ | HV_108.60c
ajeyas tridaśaiḥ sarvair | HV_App.I,42B.2490a
ajeyas tvaṃ tribhir lokaiḥ | HV_112.108c
ajeyaṃ sakalaiḥ suraiḥ | HV_App.I,42B.2137b
ajeyaṃ sacarācaraiḥ | HV_App.I,20.164b
ajeyaḥ kṣatriyair loke | HV_App.I,6B.44a
ajeyaḥ śatrusainyānāṃ | HV_App.I,31.1412a
ajeyaḥ śāśvato nityaṃ | HV_113.34a
ajeyaḥ sarvalokeṣu | HV_App.I,20.435a
ajeyāḥ śatrusaṃghānām | HV_App.I,31.2268a
ajeyo jayyatāṃ prāptaḥ | HV_App.I,43.127a
ajeyo baladevo 'yam | HV_89.31c
ajeyo 'si sadā viṣṇo | *HV_112.107*1460:5a
ajeyau devadānavaiḥ | HV_App.I,31.2198b
ajeṣu tāmravarṇeṣu | *HV_13.67*278:1a
ajaikapād ahirbudhnyas | HV_3.42a
ajaikapād ahirbudhnyaḥ | HV_App.I,42B.2705a
ajaikapādena raṇe | HV_App.I,42B.762a
ajaiḍakaṃ kharoṣṭraṃ ca | HV_117.34c
ajo nikumbhaḥ kupathaś ca dānavo | HV_App.I,42B.445
ajñātāṃ karmagocaraiḥ | HV_App.I,41.880b
ajñānatamasāviṣṭaṃ | HV_App.I,20.560a
